电影id,电影名称,出品国家,电影类别1,电影类别2,电影类别3,电影评分,男性占比,女性占比
1182736,等你醒来,"中国
",剧情,,,,,
1197614,误闯隐形岛,"中国
",剧情,动画,,,0.253 ,0.747 
1198578,你想活出怎样的人生,"日本
",剧情,奇幻,动画,8.5,0.364 ,0.636 
1198835,极限奇援,"中国
",动作,悬疑,喜剧,,0.351 ,0.649 
1199751,失而复得,"中国
",喜剧,犯罪,悬疑,,0.278 ,0.722 
1206962,喜马拉雅之灵,"中国
",剧情,,,,0.336 ,0.664 
1207114,潜行,中国,剧情,犯罪,动作,8.5,0.439 ,0.561 
1211219,禁锢,,,,,,,
1212593,亿计划,,,,,,,
1213095,珍·古道尔的传奇一生,"美国
",纪录片,传记,,9.4,0.247 ,0.753 
1215684,午夜迷途,"中国
",惊悚,恐怖,悬疑,,0.393 ,0.607 
1216388,灵魂电台,,,,,,,
1216449,刀尖,"中国
",谍战,,,,0.424 ,0.576 
1218085,旺卡,"美国
",冒险,喜剧,家庭,9.1,0.260 ,0.740 
1221474,西南东北客,"中国
",剧情,喜剧,公路,,0.421 ,0.579 
1221853,探寻外太空生命,"美国
",纪录片,短片,,,,
1224876,疯狂绑架,,,,,,,
1225713,记忆,哥伦比亚,文艺,剧情,,8.2,0.369 ,0.631 
1225762,天堂谷大冒险,"德国
",动画,冒险,合家欢,,0.272 ,0.728 
1226430,心愿房间,"法国
",剧情,奇幻,悬疑,,0.318 ,0.682 
1228,天空之城,"日本
",动画,冒险,家庭,9.4,0.368 ,0.632 
1229055,寒单,"中国
",剧情,,,,0.452 ,0.548 
1229786,秋田,"中国
",剧情,,,,0.440 ,0.560 
1233316,忠爱无言2,"中国
",剧情,,,,0.283 ,0.717 
1237938,凌晨两点半2,"中国
",恐怖,惊悚,,,0.402 ,0.598 
1244,红猪,"日本
",动画,冒险,,9.3,0.442 ,0.558 
1246452,红旗渠之恋,"中国
",剧情,,,,0.540 ,0.460 
1250604,,,,,,,,
1250661,消失的木偶,"中国
",恐怖,惊悚,,,0.351 ,0.649 
1250896,超级马力欧兄弟大电影,"美国
",动作,喜剧,动画,9.2,0.438 ,0.562 
1251043,合群路,"中国
",剧情,喜剧,,,0.535 ,0.465 
1251242,功夫乒乓,,,,,,,
1251453,清风的味道,"中国
",家庭,,,,0.389 ,0.611 
1254650,沉默笔录,"中国
",犯罪,悬疑,剧情,,0.405 ,0.595 
1255080,别叫我“赌神”,中国,剧情,家庭,运动,8,0.479 ,0.521 
1259816,,,,,,,,
1259921,碟中谍7：致命清算（上）,"美国
",动作,惊悚,冒险,8.9,0.572 ,0.428 
1260081,海王2：失落的王国,"美国
",动作,冒险,奇幻,8.6,0.490 ,0.510 
1261245,极寒之城,"中国
",动作,悬疑,剧情,9.1,0.514 ,0.486 
1262166,少年桑吉,"中国
",剧情,儿童,,,0.273 ,0.727 
1262729,冒牌特工,,,,,,,
1280203,开国将帅授衔1955,"中国
",历史,剧情,战争,,0.646 ,0.354 
1280811,嗨！神兽,"中国
",剧情,动画,奇幻,,0.284 ,0.716 
1281273,破战,,,,,,,
1281466,最好的相遇,"中国
",爱情,剧情,,,0.261 ,0.739 
1282470,奇迹少女,"法国
",动画,奇幻,青春,9.1,0.278 ,0.722 
1282839,冰下的鱼,"中国
",剧情,家庭,,,0.313 ,0.687 
1283734,恶世之子,"美国
",动作,犯罪,剧情,,0.419 ,0.581 
1284900,第八个嫌疑人,"中国
",剧情,犯罪,,8.8,0.353 ,0.647 
1284979,饥饿游戏：鸣鸟与蛇之歌,"美国
",动作,科幻,冒险,8.1,0.351 ,0.649 
1285455,毒蜂,"中国
",剧情,警匪,动作,,0.507 ,0.493 
1285798,,,,,,,,
1290365,形意英雄,"中国
",动作,剧情,历史,,,
1290405,周恩来与乌兰牧骑,"中国
",剧情,,,,0.476 ,0.524 
1290415,课本,"中国
",剧情,,,,0.339 ,0.661 
1290884,海洋传奇,"中国
",合家欢,奇幻,亲情,,0.278 ,0.722 
1291017,,,,,,,,
1291784,惊奇队长2,"美国
",动作,冒险,,6.4,0.538 ,0.462 
1291846,青春如棋,"中国
",剧情,,,,,
1297465,小美人鱼,"美国
",音乐,,,7.4,0.219 ,0.781 
1297875,家园·重返地球之战,"中国
",科幻,动作,,,0.466 ,0.534 
1297972,飚战,中国,剧情,,,,0.722 ,0.278 
1297985,靠近我一点,"中国
",爱情,奇幻,喜剧,,0.336 ,0.664 
1298240,黄雀在后！,"中国
",犯罪,悬疑,剧情,8.1,0.263 ,0.737 
1298381,涉过愤怒的海,"中国
",剧情,犯罪,悬疑,8.8,0.317 ,0.683 
1298384,坚如磐石,"中国
",剧情,犯罪,悬疑,8.7,0.419 ,0.581 
1298429,检察风云,"中国
",剧情,犯罪,,8.3,0.350 ,0.650 
1298450,蜘蛛侠：纵横宇宙,"美国
",动画,动作,科幻,9,0.485 ,0.515 
1298495,来自汪星的你,"中国
",奇幻,喜剧,家庭,,0.301 ,0.699 
1298507,,,,,,,,
1298551,故乡异客,"中国
",剧情,亲情,,,0.328 ,0.672 
1299066,爸爸的自行车,"中国
",剧情,,,,0.328 ,0.672 
1299087,大明监察御史,"中国
",剧情,古装,,,0.419 ,0.581 
1299292,天下无敌,"中国
",武侠,,,,0.535 ,0.465 
1299863,八十九分之一的凶手,,,,,,,
1299938,蜘蛛夫人：超感觉醒,"美国
",惊悚,动作,,,0.503 ,0.497 
1299987,云雀,"中国
",剧情,,,,0.476 ,0.524 
1299991,临时家族,"中国
",剧情,,,,0.324 ,0.676 
1300093,吾爱敦煌,"中国
",剧情,传记,历史,,0.230 ,0.770 
1300115,温柔壳,"中国
",爱情,剧情,,9,0.228 ,0.772 
1300248,踢球吧少年,"中国
",剧情,,,,0.636 ,0.364 
1300763,陀螺女孩,"中国
",剧情,,,,0.311 ,0.689 
1301084,困兽,中国,剧情,犯罪,警匪,7,0.309 ,0.691 
1301416,巨齿鲨2：深渊,中国,冒险,动作,科幻,8.9,0.433 ,0.567 
1302085,七声,"中国
",剧情,,,,0.481 ,0.519 
1302102,荒野咖啡馆,"中国
",文艺,剧情,,,0.221 ,0.779 
