上座率(%),场均人次,票房占比(%),已上映天数,排片场次,排片占比(%),当日票房(万),当日总出票(万),当日总场次(万),出品国家,电影类别1,电影类别2,电影类别3,电影评分,男性占比(%),女性占比(%),节假日
0.202,30.4,0.339,4,111426,0.247,14605.02,1025.2,45,1,2,3,11,9,0.419,0.419,6
0.165,21.5,0.211,4,100727,0.223,9110.3,1025.2,45,1,4,1,0,9,0.425,0.425,6
0.184,21.4,0.198,4,95902,0.213,8565.05,1025.2,45,1,2,18,19,10,0.465,0.465,6
0.204,22.8,0.137,3,60885,0.135,5925.79,1025.2,45,1,2,3,5,9,0.43,0.43,6
0.218,20.3,0.035,4,17910,0.039,1532,1025.2,45,1,1,2,0,9,0.381,0.381,6
0.163,16.8,0.032,3,24503,0.054,1381.81,1025.2,45,3,8,0,0,9,0.235,0.235,6
0.141,13.5,0.02,4,17351,0.038,866.33,1025.2,45,1,1,8,6,9,0.265,0.265,6
0.194,30.7,0.005,33,1615,0.003,253.81,1025.2,45,3,2,30,18,9,0.569,0.569,6
0.106,9.9,0.005,3,6659,0.014,240.58,1025.2,45,1,8,1,7,0,0.349,0.349,6
0.205,19.3,0.002,55,1240,0.002,97.65,1025.2,45,1,3,2,0,9,0.359,0.359,6
0.018,70.3,0.001,51,199,0.0005,81.25,1025.2,45,1,8,14,6,8,0.192,0.192,6
0.165,16.8,0.001,74,1057,0.002,80.03,1025.2,45,1,15,5,29,9,0.41,0.41,6
0.046,4.8,0.001,3,3852,0.008,65.91,1025.2,45,1,7,31,8,0,0.163,0.163,6
0.226,20.7,0.001,86,505,0.001,44.14,1025.2,45,1,8,18,0,9,0.351,0.351,6
0.154,14,0.0005,17,572,0.001,38.2,1025.2,45,3,2,11,16,8,0.315,0.315,6
0.75,102.6,0.0005,35,98,0.0005,28.08,1025.2,45,1,18,30,0,0,0.374,0.374,6
0.098,8.7,0.0005,17,787,0.001,25.78,1025.2,45,3,5,6,0,8,0.699,0.699,6
0.075,6.6,0.0005,23,788,0.001,22.33,1025.2,45,1,2,3,0,9,0.353,0.353,6
0.036,3.5,0.0005,3,1740,0.003,21.16,1025.2,45,1,8,6,1,0,0.274,0.274,6
0.041,4.1,0.0005,3,994,0.002,13.06,1025.2,45,5,8,6,0,0,0.201,0.201,6
0.75,138.3,0.0005,93,15,0.0005,10,1025.2,45,1,2,18,21,0,0.263,0.263,6
0.122,10.9,0.0005,45,171,0.0005,7.61,1025.2,45,1,2,1,0,9,0.274,0.274,6
0.099,9,0.0005,80,160,0.0005,5.81,1025.2,45,1,8,7,1,9,0.348,0.348,6
0.449,35,0.0005,23,140,0.0005,5.35,1025.2,45,1,2,0,0,9,0.4,0.4,6
0.011,39.1,0.0005,4,21,0.0005,2.82,1025.2,45,1,2,1,4,0,0.458,0.458,6
0.1,8,0.0005,59,82,0.0005,2.71,1025.2,45,1,6,5,14,9,0.433,0.433,6
0.006,250,0.0005,44,2,0.0005,2.49,1025.2,45,1,8,0,0,0,0.354,0.354,6
0.148,12.1,0.0005,45,31,0.0005,1.6,1025.2,45,3,9,30,0,9,0.298,0.298,6
0.093,6.9,0.0005,66,24,0.0005,0.84,1025.2,45,1,22,24,1,9,0.205,0.205,6
0.092,7.5,0.0005,73,19,0.0005,0.61,1025.2,45,3,1,6,7,9,0.204,0.204,6
0.082,7,0.0005,45,22,0.0005,0.43,1025.2,45,5,8,7,22,9,0.278,0.278,6
0.075,8.6,0.0005,31,11,0.0005,0.43,1025.2,45,3,6,24,5,9,0.566,0.566,6
0.035,3.7,0.0005,23,37,0.0005,0.41,1025.2,45,1,16,17,0,0,0.381,0.381,6
0.018,0.8,0.0005,17,85,0.0005,0.33,1025.2,45,1,3,11,0,0,0.229,0.229,6
0.021,1.5,0.0005,46,38,0.0005,0.22,1025.2,45,1,2,12,0,9,0.207,0.207,6
0.06,5.1,0.0005,88,9,0.0005,0.18,1025.2,45,1,2,0,0,10,0.398,0.398,6
0.055,5,0.0005,41,9,0.0005,0.17,1025.2,45,1,4,2,0,9,0.333,0.333,6
0.057,5.3,0.0005,31,10,0.0005,0.16,1025.2,45,1,17,16,0,0,0.362,0.362,6
0.049,4.4,0.0005,59,7,0.0005,0.12,1025.2,45,1,9,0,0,10,0.285,0.285,6
0.011,1.6,0.0005,86,18,0.0005,0.09,1025.2,45,1,8,6,1,9,0.222,0.222,6
0.75,30,0.0005,96,1,0.0005,0.09,1025.2,45,1,2,25,0,0,0.385,0.385,6
0.029,3.5,0.0005,41,4,0.0005,0.06,1025.2,45,1,2,4,0,0,0.281,0.281,6
0.059,3.3,0.0005,52,3,0.0005,0.03,1025.2,45,0,0,0,0,0,0,0,6
0.011,0.1,0.0005,23,27,0.0005,0.01,1025.2,45,1,2,4,7,0,0.285,0.285,6
0.036,1.3,0.0005,44,3,0.0005,0.01,1025.2,45,6,8,0,0,0,0.171,0.171,6
0.034,5.1,0.309,13,92158,0.271,1972.08,152.9,33.9,1,2,3,11,9,0.419,0.419,13
0.042,5,0.25,13,75961,0.223,1591.54,152.9,33.9,1,4,1,0,9,0.425,0.425,13
0.04,4.7,0.18,12,58809,0.173,1147.99,152.9,33.9,1,2,3,5,9,0.43,0.43,13
0.036,4.4,0.176,13,62787,0.185,1122.35,152.9,33.9,1,2,18,19,10,0.465,0.465,13
0.03,2.8,0.041,13,22572,0.066,265.29,152.9,33.9,1,1,2,0,9,0.381,0.381,13
0.013,1.3,0.005,12,7951,0.023,32.53,152.9,33.9,3,8,0,0,9,0.235,0.235,13
0.025,3.4,0.004,42,1890,0.005,29.51,152.9,33.9,3,2,30,18,9,0.569,0.569,13
0.689,67.7,0.003,44,86,0.0005,22.2,152.9,33.9,1,18,30,0,0,0.374,0.374,13
0.032,2.7,0.002,64,1757,0.005,18.68,152.9,33.9,1,3,2,0,9,0.359,0.359,13
0.118,9.8,0.002,12,540,0.001,15.08,152.9,33.9,1,7,31,8,0,0.163,0.163,13
0.025,2.1,0.002,83,1355,0.003,12.85,152.9,33.9,1,15,5,29,9,0.41,0.41,13
0.025,2.4,0.001,26,1215,0.003,11.17,152.9,33.9,3,2,11,16,8,0.315,0.315,13
0.005,0.5,0.001,13,5196,0.015,9.08,152.9,33.9,1,1,8,6,9,0.265,0.265,13
0.013,1.4,0.001,26,1993,0.005,9.07,152.9,33.9,3,5,6,0,8,0.699,0.699,13
0.07,7.9,0.001,12,250,0.0005,7.77,152.9,33.9,1,8,6,1,0,0.274,0.274,13
0.117,20.6,0.0005,75,59,0.0005,4.38,152.9,33.9,1,22,24,1,9,0.205,0.205,13
0.01,1,0.0005,32,868,0.002,3.45,152.9,33.9,1,2,3,0,9,0.353,0.353,13
