"日期","上座率(%)","场均人次","票房占比(%)","已上映天数","排片场次","排片占比(%)","当日票房(万)","当日总出票(万)","当日总场次(万)","出品国家","电影类别1","电影类别2","电影类别3","电影评分","男性占比(%)","女性占比(%)","节假日"
"1001","0.202 ","30.4","0.3390 ","4","111426","0.2470 ","14605.02","1025.2","45.000 ","中国
","剧情","犯罪","悬疑","9","0.419","0.419","6"
"1001","0.165 ","21.5","0.2110 ","4","100727","0.2230 ","9110.3","1025.2","45.000 ","中国
","爱情","喜剧","0","9","0.425","0.425","6"
"1001","0.184 ","21.4","0.1980 ","4","95902","0.2130 ","8565.05","1025.2","45.000 ","中国
","剧情","历史","战争","10","0.465","0.465","6"
"1001","0.204 ","22.8","0.1370 ","3","60885","0.1350 ","5925.79","1025.2","45.000 ","中国
","剧情","犯罪","动作","9","0.43","0.43","6"
"1001","0.218 ","20.3","0.0350 ","4","17910","0.0390 ","1532","1025.2","45.000 ","中国
","喜剧","剧情","0","9","0.381","0.381","6"
"1001","0.163 ","16.8","0.0320 ","3","24503","0.0540 ","1381.81","1025.2","45.000 ","美国","动画","0","0","9","0.235","0.235","6"
"1001","0.141 ","13.5","0.0200 ","4","17351","0.0380 ","866.33","1025.2","45.000 ","中国
","喜剧","动画","冒险","9","0.265","0.265","6"
"1001","0.194 ","30.7","0.0050 ","33","1615","0.0030 ","253.81","1025.2","45.000 ","美国
","剧情","传记","历史","9","0.569","0.569","6"
"1001","0.106 ","9.9","0.0050 ","3","6659","0.0140 ","240.58","1025.2","45.000 ","中国
","动画","喜剧","奇幻","0","0.349","0.349","6"
"1001","0.205 ","19.3","0.0020 ","55","1240","0.0020 ","97.65","1025.2","45.000 ","中国
","犯罪","剧情","0","9","0.359","0.359","6"
"1001","0.018 ","70.3","0.0010 ","51","199","0.0005 ","81.25","1025.2","45.000 ","中国
","动画","科幻","冒险","8","0.192","0.192","6"
"1001","0.165 ","16.8","0.0010 ","74","1057","0.0020 ","80.03","1025.2","45.000 ","中国
","神话","动作","史诗","9","0.41","0.41","6"
"1001","0.046 ","4.8","0.0010 ","3","3852","0.0080 ","65.91","1025.2","45.000 ","中国
","奇幻","探险","动画","0","0.163","0.163","6"
"1001","0.226 ","20.7","0.0010 ","86","505","0.0010 ","44.14","1025.2","45.000 ","中国
","动画","历史","0","9","0.351","0.351","6"
"1001","0.154 ","14","0.0005 ","17","572","0.0010 ","38.2","1025.2","45.000 ","美国
","剧情","悬疑","惊悚","8","0.315","0.315","6"
"1001","0.750 ","102.6","0.0005 ","35","98","0.0005 ","28.08","1025.2","45.000 ","中国
","历史","传记","0","0","0.374","0.374","6"
"1001","0.098 ","8.7","0.0005 ","17","787","0.0010 ","25.78","1025.2","45.000 ","美国
","动作","冒险","0","8","0.699","0.699","6"
"1001","0.075 ","6.6","0.0005 ","23","788","0.0010 ","22.33","1025.2","45.000 ","中国
","剧情","犯罪","0","9","0.353","0.353","6"
