日期,上座率,场均人次,票房占比,电影ID,电影名字,已上映天数,排片场次,排片占比,当日票房,当日总出票,当日总场次
403,28.4%,37.2,57.6%,1198578,你想活出怎样的人生,上映首日,69248,18.0%,9922.91,436.2万,38.3万
403,5.1%,7.7,22.0%,1470629,哥斯拉大战金刚2：帝国崛起,上映6天,115238,30.0%,3792.96,436.2万,38.3万
403,10.4%,10.1,6.2%,1370725,草木人间,上映首日,27734,7.2%,1071.15,436.2万,38.3万
403,10.3%,10.0,5.9%,1298240,黄雀在后！,上映首日,26939,7.0%,1022.00,436.2万,38.3万
403,2.9%,3.1,2.3%,1487151,我们一起摇太阳,上映5天,31551,8.2%,398.74,436.2万,38.3万
403,2.0%,2.2,1.7%,475180,功夫熊猫4,上映13天,32834,8.5%,298.35,436.2万,38.3万
403,1.7%,1.9,0.9%,1488960,周处除三害,上映34天,23242,6.0%,167.99,436.2万,38.3万
403,2.7%,2.7,0.5%,1448919,坠落的审判,上映6天,8774,2.2%,97.06,436.2万,38.3万
403,2.6%,2.9,0.5%,1441786,沙丘2,上映27天,6619,1.7%,93.77,436.2万,38.3万
403,2.0%,2.0,0.3%,1448767,灿烂的她,上映20天,7625,1.9%,57.32,436.2万,38.3万
403,1.4%,1.4,0.2%,1451499,被我弄丢的你,上映27天,8342,2.1%,45.71,436.2万,38.3万
403,2.0%,1.9,0.2%,1489349,第二十条,上映54天,5773,1.5%,45.00,436.2万,38.3万
403,5.0%,4.6,0.2%,1462637,雪豹,上映首日,1889,0.4%,36.58,436.2万,38.3万
403,1.6%,1.5,0.1%,1495728,飞驰人生2,上映54天,4805,1.2%,29.09,436.2万,38.3万
403,--,97.3,0.1%,1475199,家园梦想,,60,<0.1%,22.22,436.2万,38.3万
403,1.3%,1.3,<0.1%,1500234,熊出没·逆转时空,上映54天,2983,0.7%,15.13,436.2万,38.3万
403,4.2%,4.3,<0.1%,1446251,午夜怪谈,零点场,941,0.2%,14.49,436.2万,38.3万
403,0.7%,0.6,<0.1%,1491012,银河写手,上映5天,4473,1.1%,10.88,436.2万,38.3万
403,10.0%,15.8,<0.1%,1437173,绝地重生,上映21天,205,<0.1%,10.77,436.2万,38.3万
403,8.3%,9.2,<0.1%,1445662,堡垒,上映13天,422,0.1%,10.58,436.2万,38.3万
403,1.0%,1.0,<0.1%,1478901,热辣滚烫,上映54天,1715,0.4%,6.93,436.2万,38.3万
403,91.1%,68.0,<0.1%,1300763,陀螺女孩,上映20天,21,<0.1%,5.70,436.2万,38.3万
403,--,163.6,<0.1%,1282399,苍穹,展映,5,<0.1%,3.27,436.2万,38.3万
403,--,113.8,<0.1%,1385790,望道,,4,<0.1%,2.98,436.2万,38.3万
403,45.6%,44.4,<0.1%,1491083,大“反”派,点映,17,<0.1%,2.95,436.2万,38.3万
403,78.4%,88.0,<0.1%,1414027,八百矿工上井冈,,6,<0.1%,1.88,436.2万,38.3万
403,32.0%,42.2,<0.1%,1355362,我们的七月,,13,<0.1%,1.64,436.2万,38.3万
403,90.7%,102.6,<0.1%,1491518,密室逃脱,,5,<0.1%,1.60,436.2万,38.3万
403,1.8%,1.8,<0.1%,1511023,午夜6号房,上映34天,245,<0.1%,1.49,436.2万,38.3万
403,7.7%,22.4,<0.1%,1340449,单声,,19,<0.1%,1.28,436.2万,38.3万
