"日期","上座率","场均人次","票房占比","电影ID","电影名字","已上映天数","排片场次","排片占比","当日票房","当日总出票","当日总场次","出品国家","电影类别1","电影类别2","电影类别3","电影评分","男性占比","女性占比","节假日"
"1001","20.20%","30.4","33.90%","1298384","坚如磐石","上映4天","111426","24.70%","14605.02","1025.2万","45.0万","中国
","剧情","犯罪","悬疑","9","0.419 ","0.419 ","周日"
"1001","16.50%","21.5","21.10%","1405256","前任4：英年早婚","上映4天","100727","22.30%","9110.3","1025.2万","45.0万","中国
","爱情","喜剧",,"9","0.425 ","0.425 ","周日"
"1001","18.40%","21.4","19.80%","1431886","志愿军：雄兵出击","上映4天","95902","21.30%","8565.05","1025.2万","45.0万","中国
","剧情","历史","战争","10","0.465 ","0.465 ","周日"
"1001","20.40%","22.8","13.70%","1475035","莫斯科行动","上映3天","60885","13.50%","5925.79","1025.2万","45.0万","中国
","剧情","犯罪","动作","9","0.430 ","0.430 ","周日"
"1001","21.80%","20.3","3.50%","1466176","好像也没那么热血沸腾","上映4天","17910","3.90%","1532","1025.2万","45.0万","中国
","喜剧","剧情",,"9","0.381 ","0.381 ","周日"
"1001","16.30%","16.8","3.20%","1457792","汪汪队立大功大电影2：超能大冒险","上映3天","24503","5.40%","1381.81","1025.2万","45.0万","美国","动画",,,"9","0.235 ","0.235 ","周日"
"1001","14.10%","13.5","2.00%","1446243","贝肯熊：火星任务","上映4天","17351","3.80%","866.33","1025.2万","45.0万","中国
","喜剧","动画","冒险","9","0.265 ","0.265 ","周日"
"1001","19.40%","30.7","0.50%","1443924","奥本海默","重映33天","1615","0.30%","253.81","1025.2万","45.0万","美国
","剧情","传记","历史","9","0.569 ","0.569 ","周日"
"1001","10.60%","9.9","0.50%","1303089","我是哪吒2之英雄归来","上映3天","6659","1.40%","240.58","1025.2万","45.0万","中国
","动画","喜剧","奇幻",,"0.349 ","0.349 ","周日"
"1001","20.50%","19.3","0.20%","1374349","孤注一掷","上映55天","1240","0.20%","97.65","1025.2万","45.0万","中国
","犯罪","剧情",,"9","0.359 ","0.359 ","周日"
"1001","1.80%","70.3","0.10%","1413896","潜艇总动员：环游地球80天","上映51天","199","<0.1%","81.25","1025.2万","45.0万","中国
","动画","科幻","冒险","8","0.192 ","0.192 ","周日"
"1001","16.50%","16.8","0.10%","346288","封神第一部","上映74天","1057","0.20%","80.03","1025.2万","45.0万","中国
","神话","动作","史诗","9","0.410 ","0.410 ","周日"
"1001","4.60%","4.8","0.10%","1462687","小美人鱼之大海怪传说","重映3天","3852","0.80%","65.91","1025.2万","45.0万","中国
","奇幻","探险","动画",,"0.163 ","0.163 ","周日"
"1001","22.60%","20.7","0.10%","1475137","长安三万里","上映86天","505","0.10%","44.14","1025.2万","45.0万","中国
","动画","历史",,"9","0.351 ","0.351 ","周日"
"1001","15.40%","14","<0.1%","1486791","威尼斯惊魂夜","上映17天","572","0.10%","38.2","1025.2万","45.0万","美国
","剧情","悬疑","惊悚","8","0.315 ","0.315 ","周日"
"1001","75.00%","102.6","<0.1%","1385972","觅渡","上映35天","98","<0.1%","28.08","1025.2万","45.0万","中国
","历史","传记",,,"0.374 ","0.374 ","周日"
"1001","9.80%","8.7","<0.1%","341244","敢死队4：最终章","上映17天","787","0.10%","25.78","1025.2万","45.0万","美国
","动作","冒险",,"8","0.699 ","0.699 ","周日"
"1001","7.50%","6.6","<0.1%","1284900","第八个嫌疑人","上映23天","788","0.10%","22.33","1025.2万","45.0万","中国
","剧情","犯罪",,"9","0.353 ","0.353 ","周日"
"1001","3.60%","3.5","<0.1%","1394753","功夫王之萌虎上山","上映3天","1740","0.30%","21.16","1025.2万","45.0万","中国
","动画","冒险","喜剧",,"0.274 ","0.274 ","周日"
